Baja;Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios
0;8;1;1;36;36;84;6;1;158;457;59;1;58;0.9;8;12;37.6
0;26;1;16;9;26;13;16;1;593;421;46;2;56;11.544;3;21;32.92603
0;30;11;1;47;17;80;6;1;149;453;59;1;50;2.1375;8;15;34.18356
0;37;1;1;34;25;136;6;1;297;473;30;1;46;3.003;8;16;33.21918
0;44;1;13;63;26;186;10;1;556;411;32;1;52;1.645;4;14;32.63014
0;63;1;1;34;25;136;6;1;297;617;30;1;49;3.26;8;16;15.91507
0;64;1;16;9;26;13;16;1;596;422;45;2;64;14.42;3;21;39.14247
0;65;1;16;9;26;13;16;1;592;417;133;1;61;44.187;3;25;41.34795
0;101;1;1;34;26;136;6;1;321;311;46;2;59;6.9175;8;19;30.69315
0;128;10;1;34;17;31;6;1;22;445;59;2;46;1.345;8;13;29.84932
0;140;1;1;10;17;125;6;1;264;610;59;1;48;1.98;8;15;29.29315
0;147;1;6;14;26;10;13;1;399;376;59;2;45;6.7325;7;18;29.13425
0;162;1;1;34;26;136;6;1;328;613;32;2;49;1.4575;8;13;28.6137
0;190;1;6;14;26;10;13;1;401;391;4;1;45;1.435;7;12;28.10411
0;194;1;1;34;26;136;6;1;322;297;8;2;49;1.1025;8;12;28.10411
0;195;1;16;9;26;13;16;1;597;420;59;2;47;5.28;3;18;15.91507
0;203;1;1;34;26;136;6;1;304;296;45;1;48;10;8;21;27.89315
0;241;1;1;112;16;120;6;1;254;477;59;2;48;0.9;8;12;27.43288
0;277;11;6;14;26;5;13;1;438;631;134;1;46;3;7;16;26.87671
0;285;1;13;63;26;186;10;1;556;411;30;1;46;1.0175;4;13;26.83836
0;328;1;1;34;26;136;6;1;299;296;59;2;41;3.3;8;15;26.12877
0;329;1;16;9;26;13;16;1;601;418;59;2;52;5.3025;3;18;26.12877
0;362;1;3;11;26;14;11;1;342;400;135;1;51;2.42;12;14;25.61096
0;419;1;1;43;17;49;6;1;63;462;59;1;40;2.1375;8;15;25.26575
0;423;1;1;34;26;136;6;1;297;617;59;2;40;4.815;8;18;25.23288
0;427;1;6;14;26;10;13;1;400;380;32;2;43;1.5025;7;13;25.2274
0;464;1;1;34;25;136;6;1;291;484;30;1;40;2.8;8;16;25.09315
0;488;1;1;34;25;136;6;1;290;491;30;1;43;3.225;8;16;24.86301
0;540;1;1;35;33;27;6;1;9;518;144;2;43;0.865;8;12;24.54795
0;572;10;1;18;17;130;6;1;277;639;59;1;45;1.6905;8;15;24.38082
0;578;10;1;33;17;108;6;1;226;444;59;1;41;2.151;8;15;24.32055
0;596;1;14;90;26;249;8;1;581;372;32;1;43;1.7125;7;15;24.2411
0;639;10;1;113;17;262;6;1;792;656;59;2;41;2.1;8;15;24.09589
