Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
4;1;1;34;25;136;6;1;292;491;30;1;64;3.04;8;16;33.56712;1
8;1;1;36;36;84;6;1;158;457;59;1;57;0.9;8;12;37.57534;0
10;1;1;34;26;136;6;1;328;613;138;2;64;1.33;8;12;37.06575;1
17;1;1;34;26;136;6;1;326;308;32;1;64;2.97;8;14;36.73151;1
26;1;16;9;26;13;16;1;593;421;46;2;56;11.544;3;21;32.90137;0
30;11;1;47;17;80;6;1;149;453;59;1;50;2.1375;8;15;34.1589;0
37;1;1;34;25;136;6;1;297;473;30;1;46;3.003;8;16;33.19452;0
44;1;13;63;26;186;10;1;556;411;32;1;51;1.645;4;14;32.60548;0
63;1;1;34;25;136;6;1;297;617;30;1;49;3.26;8;16;15.89041;0
64;1;16;9;26;13;16;1;596;422;45;2;64;14.52;3;21;39.11781;0
65;1;16;9;26;13;16;1;592;417;133;1;61;44.187;3;25;41.32329;0
75;1;1;44;26;137;6;1;311;312;59;1;49;6.73;8;19;30.73425;1
85;1;1;34;25;136;6;1;291;517;30;1;47;3.07;8;16;29.90685;1
101;1;1;34;26;136;6;1;321;311;46;2;59;7.0175;8;19;30.66849;0
116;1;1;34;26;136;6;1;294;299;59;1;50;6.321;8;18;28.82466;1
128;10;1;34;17;31;6;1;22;445;59;2;46;1.345;8;13;29.82466;0
140;1;1;10;17;125;6;1;264;610;59;1;48;1.98;8;15;29.26849;0
147;1;6;14;26;10;13;1;399;376;59;2;45;6.7325;7;18;29.10959;0
154;1;1;34;26;136;6;1;299;296;45;1;50;12.9;8;21;28.53151;1
161;1;1;34;25;136;6;1;297;617;30;2;48;2.68;8;16;15.1726;1
162;1;1;34;26;136;6;1;328;613;32;2;49;1.4575;8;13;28.58904;0
167;1;6;13;7;8;13;1;439;393;145;2;44;0.988;7;12;27.46301;1
190;1;6;14;26;10;13;1;401;391;4;1;45;1.435;7;12;28.07945;0
194;1;1;34;26;136;6;1;322;297;8;2;49;1.1025;8;12;28.07945;0
195;1;16;9;26;13;16;1;597;420;59;2;47;5.28;3;18;15.89041;0
203;1;1;34;26;136;6;1;304;296;45;1;48;10;8;21;27.86849;0
241;1;1;112;16;120;6;1;254;477;59;2;48;0.9;8;12;27.40822;0
277;11;6;14;26;5;13;1;438;631;134;1;46;3;7;16;26.85205;0
285;1;13;63;26;186;10;1;556;411;30;1;46;1.0175;4;13;26.8137;0
328;1;1;34;26;136;6;1;299;296;59;2;41;3.3;8;15;26.10411;0
329;1;16;9;26;13;16;1;601;418;59;2;52;5.3025;3;18;26.10411;0
349;1;1;34;26;136;6;1;328;613;35;1;46;1.82;8;12;25.47945;1
356;1;1;44;17;60;6;1;91;528;59;2;42;2.18;8;15;25.60822;1
